num_officers,pop
106,77398
4344,489867
182,117220
315,275230
67,21115
183,103686
211,153215
92,59865
124,61791
288,177129
2387,1441737
2907,886007
737,173477
12,7644
105,67612
106,83523
30,16103
664,313604
135,92895
418,121914
30,18188
25,13574
17,10624
50,32528
33,8285
89,47735
39,30579
746,131217
26,7222
42,27272
17,4746
57,30677
25,1512
127,107748
34,11521
71,34871
35,38938
111,87427
61,43297
142,106020
111,68251
11,4446
50,34624
42,29686
674,139414
13,7696
56,42818
206,91717
184,108414
1716,67403
70,42697
97,60106
43,30716
60,30793
114,82344
61,46118
135,84599
137,66938
1607,1040008
222,131173
292,154859
334,131851
27,10101
122,65263
94,54261
24,11875
198,76313
28,10545
140,92009
12,2934
103,20916
3,716
12,3274
3,985
14,2673
22,7527
2,2566
512,16212
47,28471
30,20775
183,118383
12,9502
32,29922
167,101147
148,122657
581,137325
21,8910
18,7641
25,12208
101,44131
243,177884
21,7815
94,62425
706,109863
68,49134
309,216542
16,11844
32,23808
111,74120
128,29084
88,67164
107,41576
21,7537
40,14308
50,12286
791,137130
44,24685
19,10557
15,10781
18,13708
102,60209
105,65134
219,134961
12,7682
131,49133
17,4867
1231,88074
324,211349
27,22232
45,30098
183,111596
165,126025
262,28382
92,69767
13,7374
80,61176
96,54372
163,61608
26,12572
9,3940
583,100624
911,380600
101,42267
136,60198
319,142168
271,114392
77,39420
38,13021
46,6621
28,10086
568,98905
107,35273
102,48831
35,6233
40,5289
29,6734
0,959
78,16046
5,1519
179,112129
39,11894
8,2044
13,1661
2,1369
1,513
30,5788
396,58601
271,108519
50,29522
227,97928
36,21532
5,1560
58,11319
9,2857
20,6061
10,1874
67,6429
12,1803
3,1095
1,306
32,7271
1,880
14,3851
15,5841
17,5024
65,17241
22,8929
4,1463
4,932
7,2269
9,2066
522,207458
99,67208
113,57050
63,15129
82,25436
39,5470
10,7021
10,4209
19,6496
4,7467
45,24524
10,1424
3,642
842,193731
1028,479648
59,31041
15,5388
2,2819
22,8298
1,714
4,840
89,27210
44,16793
14,3965
128,23805
31,10027
6,1125
25,9782
14,6941
7,3215
10,5095
58,6053
33,128
51,9539
10,2133
5,1511
11,2371
29,8168
31,6689
9,859
9,1708
4,804
40,6075
2,812
12,1395
761,199152
200,122312
67,21522
15,5363
437,158645
101,31553
5,8
10,425
10,541
8,1375
29,3289
8,3072
0,649
21,5078
9,2785
116,33804
63,19271
7,892
9,2754
408,84386
33,6406
317,170889
161,78856
9,5027
32,6219
35,8116
26,2925
7,1929
0,750
45,7801
29,13573
232,72050
193,63949
18,13504
11,2723
4,504
2,699
7,783
38,3845
26,8886
67,15943
48,8748
4,1429
86,20777
56,19564
4,1824
48,9865
15,5372
29,11355
2,1010
2,874
23,5948
18,6983
13,3811
2,417
3,1139
8,2819
5,1011
3,1032
55,18011
4,773
4,1140
4,2204
3,902
55,6778
37,7461
12,2767
29,4443
31,7619
0,55466
269,112381
27,1752
4,2238
9,2278
43,4932
16,4084
3,1548
3,348
52,9592
38,13365
8,1992
3,975
17,4793
20,2312
2,766
32,4299
13,2518
10,1450
3,2285
74,16096
24,5079
11,981
20,4948
13,3220
2,937
75,16020
26,7863
19,1271
31,4899
405,49530
22,8388
209,109255
12,5690
37,21585
8,2400
48,30587
40,26523
16,6074
5,1679
24,15547
14,7978
6,1885
10,3922
25,14238
34,15558
11,1242
12,7265
5,1806
10,4924
4,267
9,5362
21,4191
6,2331
8,3452
223,70798
1859,728941
50,18656
41,18320
54,20500
51,19855
61,21406
66,28002
411,144908
142,59977
44,17071
21,10267
62,29167
35,12914
21,12411
35,13894
153,85167
64,21880
36,12468
18,12842
145,49842
54,28635
32,18588
20,7519
34,11399
115,44443
127,62239
61,25525
74,34497
21,11386
182,62905
34,8967
44,22194
129,60855
483,122245
32,14698
42,18087
152,57630
131,59378
12,7750
125,45963
136,54898
56,19466
67,31214
166,72354
52,20268
65,30060
85,26856
57,26835
48,27795
28,14127
59,23642
214,89440
101,38964
32,10069
56,13948
21,15145
46,17610
26,11573
13,9281
23,9374
22,9120
46,25050
48,20199
43,16505
58,41287
49,25169
87,43886
55,26097
285,130678
51,18439
108,52034
26,15740
16,7521
86,33972
86,35772
61,29318
98,44457
335,107812
55,18812
49,21534
141,62875
18,10254
70,28332
63,26009
42,18439
27,10585
49,17660
64,28717
36,12924
37,16642
31,8782
83,29046
5,509
1081,488454
4524,705749
130,38361
14,3652
32,11768
9,3507
0,3448
4,1420
0,835
0,268
5,1639
3,1565
0,165
42,23079
463,418534
16,5558
89,33957
360,70624
13,5963
7,1026
5,1830
7,2407
14,1822
20,4469
14,3286
48,11592
8,3017
29,1546
33,7987
3,1469
11,1244
4,916
8,445
23,7558
4,1138
18,4524
10,2540
12,2180
5,528
0,988
10,394
1,444
415,108712
232,177359
378,119528
343,135085
63,28318
273,98363
119,37199
87,13266
11,4616
88,21317
18,5402
3,722
1282,243889
92,18807
57,11806
15,2937
29,8616
215,83668
11,3313
66,28078
36,11219
124,46866
219,115520
55,24077
1329,3395
81,32593
128,81602
690,184765
118,40297
262,95474
252,113536
332,174641
47,12948
70,36890
144,62471
19,2038
25,6745
42,36784
38,11403
149,59371
300,143334
57,44808
92,45857
11,626
249,96919
308,134967
97,66799
46,35244
43,15246
105,71946
33,11499
18,2473
448,166604
52,20458
328,147739
579,200443
27,8505
34,8852
904,342867
103,22369
34,18124
201,58233
54,12141
4068,1201093
37,3086
240,51530
344,240688
147,71757
1760,480505
491,92185
47,10572
55,14374
133,46307
180,64168
49,16501
42,5829
9,2479
66,24337
37,8425
145,63547
56,12284
8,2460
23,8362
27,6018
48,896
63,22476
126,38259
70,19760
265,113786
115,29278
23,8274
5,1710
41,13983
3050,909142
81,23974
29,7332
655,262715
200,52801
289,105490
14,2865
4,2488
67,28766
34,7143
10,3004
15,1701
66,16147
3,2141
130,13737
46,12512
9,3579
60,8478
8,4057
3,862
4,766
105,19202
7,2899
16,4890
162,33493
22,8098
557,183480
342,92080
10,2459
39,11008
3313,987155
87,39725
1215,400501
61,26725
6,2683
479,104975
10,5830
60,26232
73,17503
74,35876
22,7034
3,902
8,2191
59,11717
13,2413
34,8661
703,178265
53,21432
88,23527
82,37818
44,15667
6,1185
13,5977
59,14491
30,17962
11,3852
7,2091
1504,480936
314,85127
51,7525
715,97429
434,195104
151,34926
4,685
32,8410
81,15540
15,2769
1147,321034
148,58782
10,1292
26,4355
22,7379
50,13855
778,293278
270,60932
17,5086
8,1830
387,141986
61,16424
23,934
10,2244
508,49351
257,74179
41,12710
444,139546
55,25152
61,22645
36,15947
16,5218
0,35691
2264,890111
139,55072
61,18222
99,49451
962,292120
106,46750
102,31494
14,2317
15,3160
16,3044
21,7326
637,247698
218,75544
3623,651258
304,101163
184,79360
228,70509
92,8884
161,35130
377,112798
16,2126
12,891
17,3709
145,66906
4,459
16,474
35,13273
22,1978
178,57236
59,25303
24,6195
10,3657
30,7337
60,16703
48,15836
21,2894
2385,273697
14,4253
330,117458
35,12449
14,5074
179,85740
126,53589
757,267696
14,3816
23,6978
1170,467711
43,16679
55,20296
15,5814
65,25746
17,6123
7,1472
336,112237
48,16901
117,44211
212,59466
39,10450
7,1540
4,1461
1,712
695,239677
66,14778
741,78568
138,46597
300,199433
439,163717
24,10460
974,272721
235,58470
63,23726
148,70181
1236,222054
115,44582
60,29244
48,15320
76,42684
154,60844
54,37854
54,17778
2,1472
37,7310
36,6988
80,14434
23,6918
734,238054
293,69834
79,34468
66,27743
92,44005
41,4579
34,22926
29,12403
7,2837
29,11920
34,13159
13,3315
141,32438
534,66240
25,6940
82,21156
68,13515
10,4697
29,7751
12,3438
9,2478
119,26014
52,18655
64,16747
47,17385
22,7687
5,2775
227,73476
69,21322
18,4953
2,656
9,1603
11,4372
33,8661
49,11327
3,671
3,1339
495,152594
43,7949
14,4851
45,10962
63,22744
9,2623
6,1751
120,15657
28,5387
1,256
14,5086
6,1430
29,6853
12,3949
194,73833
84,26724
10,2110
120,54284
30,10126
10,3625
30,7373
7,4662
44,8854
572,240631
67,24917
36,9015
11,2677
18,2732
46,18612
358,179321
55,30109
4,2225
36,13458
59,33470
280,127246
7,2850
480,239203
83,20273
30,7636
36,4927
40,16950
19,2858
15,4278
8,2348
29,7287
697,565781
180,61324
138,57423
74,34641
125,26921
37,14126
5,744
3,966
338,139963
31,14918
9,3358
52,8740
3,277
267,99300
104,40720
14,3295
99,11898
37,10578
113,25429
63,13985
43,11986
58,26612
946,525730
13,3179
19,12840
58,10600
8,2404
17,6388
78,49868
83,54734
56,15085
14,5127
75,9943
185,74989
38,15760
337,105797
110,34609
39,5207
17,4573
9,3994
156,46798
2,2142
15,10260
10,4260
62,14659
23,4321
11,2218
56,23622
10,1458
201,52757
62,18041
65,35929
81,60298
441,238635
20,6501
57,17026
15,2162
1,837
3,1232
128,15278
152,67411
70,22200
52,16264
15,4743
151,110760
47,40067
87,85258
11,3285
107,28819
12,1722
56,16493
120,69344
122,40126
56,17069
5,743
23,14759
29,9381
20,3365
1007,803739
94,30120
88,29893
36,12769
59,16769
59,20113
87,32340
19,4554
431,147178
113,42500
19,8256
46,7004
13,1209
77,18753
21,6575
11,3154
12,1167
81,31311
1,485
32,21030
26,4447
36,10956
8,916
54,26277
20,8044
28,7409
259,191590
335,55363
151,76623
24,7854
23,5759
14,3606
112,44310
26,6980
4,1946
20,12297
44,11366
50,8640
6,2142
12,1942
2,253
7,3617
78,25328
62,12360
21,6714
21,7128
108,29013
74,15756
99,32871
6,2020
30,17329
11,3021
9,1083
80,12437
12,1891
12,2969
4,1237
95,29209
2,592
14,6241
3,2054
49,14078
17,3958
7,837
2,402
21,4893
14,3474
14,4150
21,6074
15,4177
72,34689
19,4321
4,917
290,92706
69,14128
3,2337
96,37184
265,148429
37,13888
19,4173
3,382
60,12611
29,8866
24,5269
19,3975
53,15207
51,17135
33,10270
22,4320
0,15239
28,6625
4,370
4,3930
3,697
270,75057
88,16115
22,10944
10,2427
14,2539
176,43445
83,22840
98,13158
44,15110
5,369
11,5084
22,5227
12,8352
18,4049
65,18533
4,1314
103,22607
7,1222
17,4258
35,10397
38,11113
5,902
20,3698
19,3113
96,30398
46,23707
8,621
206,66650
48,13662
31,12822
16,4592
21,5420
0,1946
33,9779
7,2588
4,3348
16,4042
9,555
101,33544
6,2784
28,4536
11,1867
5,602
42,13243
20,5704
2090,507369
564,201330
2349,974902
186,72165
433,167475
13,6955
8,3582
21,7295
4,3654
4,2065
3,941
16,6865
18,5459
4,1883
35,17958
5,2432
9,5074
123,18154
61,41269
9,4758
130,67723
31,11788
18,12448
2,1988
38,14718
16,10187
30,15035
12,6086
36,9286
23,10430
18,12470
12,7946
16,9775
12,6232
13,6514
39,11852
7,3224
4,2439
0,1132
73,7726
20,7555
58,26976
21,6315
9,4855
16,8476
6,3374
22,4165
12,5224
25,4985
29,11008
29,17146
47,11497
52,24982
9,4341
11,5153
21,8656
18,8415
72,16466
20,7421
10,5136
29,24255
2,1202
17,6303
16,5972
3,1815
21,11672
15,4958
26,11176
49,24751
7,2882
20,10715
10,5097
91,28959
112,57973
7,4245
18,3478
13,5609
38,11215
14,5886
0,2317
19,8282
20,7334
10,5761
8,4207
27,6905
18,4767
8,4123
16,9544
5,2679
14,10640
31,7111
15,7684
9,7237
30,7629
14,5006
4,2608
11,11361
6,2609
19,11214
16,8749
17,5355
21,4892
6,4578
16,6779
29,10431
3,2447
7,3159
19,13316
18,5972
47,17997
28,15205
4,2066
3,1736
14,7952
20,10539
92,32523
39,22035
108,77390
24,20086
4,1051
27,11248
9,5502
8,3898
12,8129
4,2010
25,9346
14,5413
37,13062
21,10392
25,10214
195,37847
284,134007
57,40612
14,7441
3,2260
6,4449
31,11087
13,8571
22,11783
18,10901
8,5332
26,9143
19,11415
38,15736
15,7193
24,10334
55,11235
47,27002
27,9666
12,5321
20,6951
7,3538
18,5805
5,2762
7,4001
7,3725
12,5287
81,12226
41,23823
28,8776
6,5099
14,5960
17,4880
11,5352
13,4859
17,5137
7,3691
34,14961
16,10018
17,6641
525,52254
72,68238
30,17305
450,218384
60,44541
98,67978
14,4896
35,22708
33,19441
22,10228
7,5013
201,26878
134,62427
11,3783
13,9245
16,9333
13,4925
22,7539
4,2056
166,17269
51,36972
192,102392
3,1704
10,6972
8,4000
1,953
0,314
10,6653
9,4796
41,14605
7,6112
4,2479
6,3824
7,7688
89,20380
80,68237
12,6744
6,3362
23,11873
6,2730
13,6144
13,4494
16,7784
12,6918
44,10483
51,24488
36,18755
22,16235
20,11871
9,4334
45,14772
11,7315
16,6367
36,10187
43,23973
1,782
8,6715
9,4036
26,12274
19,7529
113,14721
149,82339
9,4993
25,7400
25,4153
5,2287
8,2729
720,128136
385,231314
34,12033
145,111196
24,4307
125,16069
36,15490
131,56514
14,3573
6,2514
28,9259
85,28195
5,1946
30,11938
8,4423
64,7530
12,2843
13,1482
15,8575
4,2441
23,7284
1,468
99,33548
6,1868
24,8873
7,1145
191,56913
137,62088
27,9522
7,2606
14,2587
6,1134
282,60676
92,57940
176,98208
5,2152
5,1827
10,8395
26,4073
7,3029
78,24070
7,842
32,5686
6,3115
17,3203
0,1087
68,12926
34,14476
15,8379
9,5533
38,8596
6,3572
34,10886
16,6950
34,8182
9,3457
4,2707
1,883
38,12472
1,935
4,3205
60,25778
8,4225
55,12405
21,11921
297,65850
112,52256
74,35649
9,2596
18,8968
53,14672
45,26018
23,4857
8,3141
16,3883
12,3890
6,1514
62,10592
41,29109
32,11762
13,5791
8,3460
77,7796
68,32931
14,4534
28,9092
6,2681
49,10766
16,5472
15,7535
26,3421
7,4354
37,7575
9,2117
2,1549
2,1616
20,11895
118,25753
10,4440
95,50463
9,4052
5,2894
41,7719
12,3541
35,4835
13,5369
13,3689
23,9060
8,4592
1,1199
18,7500
12,5156
2,945
6,2767
8,4004
1,1181
